ab crunch machine,abdominals,abdomen
ab roller,abdominals,abdomen
adductor,adductors,inferiores
adductor/groin,adductors,inferiores
advanced kettlebell windmill,abdominals,abdomen
air bike,abdominals,abdomen
all fours quad stretch,quadriceps,inferiores
alternate hammer curl,biceps,superiores
alternate heel touchers,abdominals,abdomen
alternate incline dumbbell curl,biceps,superiores
alternate leg diagonal bound,quadriceps,inferiores
alternating cable shoulder press,shoulders,superiores
alternating deltoid raise,shoulders,superiores
alternating floor press,chest,superiores
alternating hang clean,hamstrings,inferiores
alternating kettlebell press,shoulders,superiores
alternating kettlebell row,middle back,superiores
alternating renegade row,middle back,superiores
ankle circles,calves,inferiores
ankle on the knee,glutes,inferiores
anterior tibialis-smr,calves,inferiores
anti-gravity press,shoulders,superiores
arm circles,shoulders,superiores
arnold dumbbell press,shoulders,superiores
around the worlds,chest,superiores
atlas stone trainer,lower back,abdomen
atlas stones,lower back,abdomen
axle deadlift,lower back,abdomen
ab crunch machine,abdominals,abdomen
ab roller,abdominals,abdomen
adductor,adductors,inferiores
adductor/groin,adductors,inferiores
advanced kettlebell windmill,abdominals,abdomen
air bike,abdominals,abdomen
all fours quad stretch,quadriceps,inferiores
alternate hammer curl,biceps,superiores
alternate heel touchers,abdominals,abdomen
alternate incline dumbbell curl,biceps,superiores
alternate leg diagonal bound,quadriceps,inferiores
alternating cable shoulder press,shoulders,superiores
alternating deltoid raise,shoulders,superiores
alternating floor press,chest,superiores
alternating hang clean,hamstrings,inferiores
alternating kettlebell press,shoulders,superiores
alternating kettlebell row,middle back,superiores
alternating renegade row,middle back,superiores
ankle circles,calves,inferiores
ankle on the knee,glutes,inferiores
anterior tibialis-smr,calves,inferiores
anti-gravity press,shoulders,superiores
arm circles,shoulders,superiores
arnold dumbbell press,shoulders,superiores
around the worlds,chest,superiores
atlas stone trainer,lower back,abdomen
atlas stones,lower back,abdomen
axle deadlift,lower back,abdomen
back flyes - with bands,shoulders,superiores
backward drag,quadriceps,inferiores
backward medicine ball throw,shoulders,superiores
balance board,calves,inferiores
ball leg curl,hamstrings,inferiores
band assisted pull-up,lats,superiores
band good morning,hamstrings,inferiores
band good morning (pull through),hamstrings,inferiores
band hip adductions,adductors,inferiores
band pull apart,shoulders,superiores
band skull crusher,triceps,superiores
barbell ab rollout,abdominals,abdomen
barbell ab rollout - on knees,abdominals,abdomen
barbell bench press - medium grip,chest,superiores
barbell curl,biceps,superiores
barbell curls lying against an incline,biceps,superiores
barbell deadlift,lower back,abdomen
barbell full squat,quadriceps,inferiores
barbell glute bridge,glutes,inferiores
barbell guillotine bench press,chest,superiores
barbell hack squat,quadriceps,inferiores
barbell hip thrust,glutes,inferiores
barbell incline bench press - medium grip,chest,superiores
barbell incline shoulder raise,shoulders,superiores
barbell lunge,quadriceps,inferiores
barbell rear delt row,shoulders,superiores
barbell rollout from bench,abdominals,abdomen
barbell seated calf raise,calves,inferiores
barbell shoulder press,shoulders,superiores
barbell shrug,traps,superiores
barbell shrug behind the back,traps,superiores
barbell side bend,abdominals,abdomen
barbell side split squat,quadriceps,inferiores
barbell squat,quadriceps,inferiores
barbell squat to a bench,quadriceps,inferiores
barbell step ups,quadriceps,inferiores
